Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
Baseline;16;16;16;32;500;1235232;766007385.050000;252;0.806279;1296416;6.453898
jc-reordered;16;16;16;32;500;1235232;621557417.950000;252;0.993659;1296416;5.238025
scalar-reorder;16;16;16;32;500;1235232;568947802.500000;252;1.085541;1296416;4.794631
scalar-blocking;16;16;16;32;500;1235232;371355367.400000;252;1.663140;1296416;3.132376
other-unroll;16;16;16;32;500;1235232;234612695.700000;252;2.632492;1296416;1.981105
vector_optimized;16;16;16;32;500;1235232;296654648.150000;252;2.081936;1296416;2.503052
combined;16;16;16;32;500;1235232;184737354.800000;252;3.343211;1296416;1.560804
Baseline;16;16;32;32;500;1243680;901003400.800000;259;0.690164;1298464;7.591877
jc-reordered;16;16;32;32;500;1243680;781016139.800000;259;0.796194;1298464;6.584209
scalar-reorder;16;16;32;32;500;1243680;737512319.800000;259;0.843159;1298464;6.217429
scalar-blocking;16;16;32;32;500;1243680;473845772.650000;259;1.312326;1298464;3.995417
other-unroll;16;16;32;32;500;1243680;259872911.100000;259;2.392862;1298464;2.193657
vector_optimized;16;16;32;32;500;1243680;327614858.500000;259;1.898082;1298464;2.764078
combined;16;16;32;32;500;1243680;216001251.350000;259;2.878872;1298464;1.823916
Baseline;16;16;64;32;500;1260576;1214020393.400000;235;0.519174;1302560;10.227046
jc-reordered;16;16;64;32;500;1260576;1109590559.900000;235;0.568037;1302560;9.347821
scalar-reorder;16;16;64;32;500;1260576;1067904671.800000;235;0.590210;1302560;8.995526
scalar-blocking;16;16;64;32;500;1260576;669177797.100000;235;0.941884;1302560;5.639790
other-unroll;16;16;64;32;500;1260576;300339453.000000;235;2.098585;1302560;2.534649
vector_optimized;16;16;64;32;500;1260576;385098201.200000;235;1.636694;1302560;3.247867
combined;16;16;64;32;500;1260576;268968522.000000;235;2.343352;1302560;2.269697
Baseline;16;16;128;32;500;1294368;1828212716.600000;227;0.353998;1310752;15.398084
jc-reordered;16;16;128;32;500;1294368;1761003261.100000;227;0.367509;1310752;14.834039
scalar-reorder;16;16;128;32;500;1294368;1717991145.400000;227;0.376710;1310752;14.469012
scalar-blocking;16;16;128;32;500;1294368;1055179895.050000;227;0.613340;1310752;8.889608
other-unroll;16;16;128;32;500;1294368;373684040.350000;227;1.731902;1310752;3.147874
vector_optimized;16;16;128;32;500;1294368;500936974.650000;227;1.291947;1310752;4.219726
combined;16;16;128;32;500;1294368;352234632.000000;227;1.837366;1310752;2.967345
Baseline;32;16;16;32;500;2469936;1561108996.400000;387;0.791084;2584608;13.130722
jc-reordered;32;16;16;32;500;2469936;1228883030.700000;387;1.004952;2584608;10.351190
scalar-reorder;32;16;16;32;500;2469936;1206604800.600000;387;1.023507;2584608;10.143596
scalar-blocking;32;16;16;32;500;2469936;810071806.250000;387;1.524517;2584608;6.807489
other-unroll;32;16;16;32;500;2469936;520147168.600000;387;2.374267;2584608;4.372931
vector_optimized;32;16;16;32;500;2469936;599317962.200000;387;2.060622;2584608;5.050332
combined;32;16;16;32;500;2469936;378929253.900000;387;3.259099;2584608;3.195828
Baseline;64;16;16;32;500;4939344;3106454161.800000;0;0.795013;5160992;26.136610
jc-reordered;64;16;16;32;500;4939344;2489259135.100000;0;0.992131;5160992;20.965821
scalar-reorder;64;16;16;32;500;4939344;2361680611.000000;0;1.045727;5160992;19.892034
scalar-blocking;64;16;16;32;500;4939344;1593477709.900000;0;1.549863;5160992;13.426935
other-unroll;64;16;16;32;500;4939344;1027184350.250000;0;2.404312;5160992;8.655665
vector_optimized;64;16;16;32;500;4939344;1234004298.750000;0;2.001348;5160992;10.398478
combined;64;16;16;32;500;4939344;816995183.150000;0;3.022872;5160992;6.889858
Baseline;128;16;16;32;500;9878160;7191522591.100000;0;0.686792;10313760;60.549208
jc-reordered;128;16;16;32;500;9878160;5455782993.450000;0;0.905293;10313760;45.905576
scalar-reorder;128;16;16;32;500;9878160;5741628687.400000;0;0.860223;10313760;48.359062
scalar-blocking;128;16;16;32;500;9878160;4126901419.300000;0;1.196801;10313760;34.776196
other-unroll;128;16;16;32;500;9878160;2629072543.300000;0;1.878640;10313760;22.148439
vector_optimized;128;16;16;32;500;9878160;3180880514.000000;0;1.552740;10313760;26.792163
combined;128;16;16;32;500;9878160;2254670021.800000;0;2.190600;10313760;18.996234
Baseline;16;16;16;64;500;2481440;1697417529.950000;0;0.730946;2549792;14.267138
jc-reordered;16;16;16;64;500;2481440;1326176527.000000;0;0.935562;2549792;11.163475
scalar-reorder;16;16;16;64;500;2481440;1260895290.200000;0;0.983999;2549792;10.616883
scalar-blocking;16;16;16;64;500;2481440;770750473.200000;0;1.609756;2549792;6.492980
other-unroll;16;16;16;64;500;2481440;487002928.000000;0;2.547664;2549792;4.103548
vector_optimized;16;16;16;64;500;2481440;626691249.750000;0;1.979795;2549792;5.279959
combined;16;16;16;64;500;2481440;373228980.150000;0;3.324286;2549792;3.145910
Baseline;16;16;16;128;500;4973856;3355709614.300000;0;0.741103;5056544;28.273030
jc-reordered;16;16;16;128;500;4973856;2770037864.900000;0;0.897796;5056544;23.322579
scalar-reorder;16;16;16;128;500;4973856;2721649849.900000;0;0.913758;5056544;22.918109
scalar-blocking;16;16;16;128;500;4973856;1672865954.200000;0;1.486627;5056544;14.100467
other-unroll;16;16;16;128;500;4973856;1069942253.800000;0;2.324357;5056544;9.018502
vector_optimized;16;16;16;128;500;4973856;1336111914.700000;0;1.861317;5056544;11.255344
combined;16;16;16;128;500;4973856;828593437.300000;0;3.001385;5056544;6.987508
Baseline;16;16;16;192;500;7466272;6180598628.100000;0;0.604009;7563296;52.035229
jc-reordered;16;16;16;192;500;7466272;4741945446.550000;0;0.787258;7563296;40.065617
scalar-reorder;16;16;16;192;500;7466272;5078622909.000000;0;0.735069;7563296;42.786443
scalar-blocking;16;16;16;192;500;7466272;3111313956.000000;0;1.199858;7563296;26.246289
other-unroll;16;16;16;192;500;7466272;2113808301.350000;0;1.766071;7563296;17.813670
vector_optimized;16;16;16;192;500;7466272;2383145781.250000;0;1.566474;7563296;20.076733
combined;16;16;16;192;500;7466272;1782537343.000000;0;2.094282;7563296;15.020491
Baseline;16;32;16;32;500;4788272;2702303584.500000;469;0.885961;4747424;22.758996
jc-reordered;16;32;16;32;500;4788272;2146684862.400000;469;1.115271;4747424;18.081432
scalar-reorder;16;32;16;32;500;4788272;2023295271.100000;469;1.183286;4747424;17.042690
scalar-blocking;16;32;16;32;500;4788272;1189810066.850000;469;2.012200;4747424;10.025829
other-unroll;16;32;16;32;500;4788272;771696793.900000;469;3.102431;4747424;6.505828
vector_optimized;16;32;16;32;500;4788272;1180371378.600000;469;2.028290;4747424;9.946553
combined;16;32;16;32;500;4788272;658713407.450000;469;3.634564;4747424;5.556365
Baseline;16;48;16;32;500;10660160;5653891140.300000;357;0.942728;10365216;47.606870
jc-reordered;16;48;16;32;500;10660160;4307577412.600000;357;1.237373;10365216;36.274239
scalar-reorder;16;48;16;32;500;10660160;4380264146.550000;357;1.216840;10365216;36.887216
scalar-blocking;16;48;16;32;500;10660160;3068397507.500000;357;1.737089;10365216;25.844127
other-unroll;16;48;16;32;500;10660160;2519238084.000000;357;2.115751;10365216;21.219050
vector_optimized;16;48;16;32;500;10660160;2759522929.900000;357;1.931522;10365216;23.241864
combined;16;48;16;32;500;10660160;2251942090.650000;357;2.366881;10365216;18.968537
Baseline;16;64;16;32;500;18850896;11634828132.799999;203;0.810106;18149792;97.958655
jc-reordered;16;64;16;32;500;18850896;8852137408.700001;203;1.064765;18149792;74.535517
scalar-reorder;16;64;16;32;500;18850896;9364244931.100000;203;1.006536;18149792;78.845909
scalar-blocking;16;64;16;32;500;18850896;7191476356.700000;203;1.310642;18149792;60.554901
other-unroll;16;64;16;32;500;18850896;5228871833.650000;203;1.802578;18149792;44.032622
vector_optimized;16;64;16;32;500;18850896;6064287723.950000;203;1.554255;18149792;51.067789
combined;16;64;16;32;500;18850896;4905024478.250000;203;1.921590;18149792;41.306892
Baseline;32;32;32;32;500;9608256;6788851415.850000;0;0.707650;9482400;57.163062
jc-reordered;32;32;32;32;500;9608256;5561507418.300000;0;0.863818;9482400;46.814995
scalar-reorder;32;32;32;32;500;9608256;5598567857.400000;0;0.858099;9482400;47.146559
scalar-blocking;32;32;32;32;500;9608256;3659190974.600000;0;1.312893;9482400;30.827219
other-unroll;32;32;32;32;500;9608256;2361339596.300000;0;2.034493;9482400;19.896646
vector_optimized;32;32;32;32;500;9608256;3418094340.100000;0;1.405499;9482400;28.786927
combined;32;32;32;32;500;9608256;2149494909.250000;0;2.235003;9482400;18.115712
